description,date
To provide limits on the designation of new federally protected land.,2015-01-22
To ensure that the storage and transportation of petroleum coke is regulated in a manner that ensures the protection of public and ecological health.,2015-01-21
To express the sense of Congress regarding climate change.,2015-01-22
"To require the use of iron, steel, and manufactured goods produced in the United States in the construction of the Keystone XL Pipeline and facilities.",2015-01-20
To express the sense of the Senate that climate change is real and not a hoax.,2015-01-21
To ensure that oil transported through the Keystone XL pipeline into the United States is used to reduce United States dependence on Middle Eastern oil.,2015-01-20
To promote energy efficiency.,2015-01-20
To express the sense of Congress regarding climate change.,2015-01-21
To express the sense of Congress regarding federally protected land.,2015-01-22
To conform citizen suits under the Endangered Species Act of 1973.,2015-01-21
